2026-06-19 16:27:33 | INFO     | document_loader      | DocumentLoader initialized — upload_dir: c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads
2026-06-19 16:27:33 | INFO     | document_loader      | Supported formats: ['.pdf', '.docx']
2026-06-19 16:27:33 | INFO     | chunker              | Chunker initialized — chunk_size: 1000 | overlap: 300
2026-06-19 16:27:33 | INFO     | embedder             | Embedder initializing — endpoint: https://az-oai-collection.openai.azure.com/ | model: text-embedding-3-small
2026-06-19 16:27:34 | INFO     | embedder             | Embedder ✅ initialized | max_workers: 10
2026-06-19 16:27:34 | INFO     | vector_store         | VectorStore initializing — persist_dir: c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\chroma_db
2026-06-19 16:27:35 | INFO     | vector_store         | VectorStore ✅ Collection loaded — 0 existing vectors
2026-06-19 16:27:35 | INFO     | memory_manager       | [MEMORY_MGR] Initializing conversation memory manager
2026-06-19 16:27:35 | INFO     | memory_store         | [MEMORY_STORE] Initializing with Chroma DB at c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\chroma_db
2026-06-19 16:27:35 | INFO     | memory_store         | [MEMORY_STORE] ✅ Collections loaded — metadata: 0, summaries: 0
2026-06-19 16:27:35 | INFO     | memory_store         | [MEMORY_STORE] ✅ Retrieved 0 groups
2026-06-19 16:27:35 | INFO     | memory_manager       | [MEMORY_MGR] ✅ Loaded 0 groups from storage
2026-06-19 16:27:35 | INFO     | memory_manager       | [MEMORY_MGR] ✅ Manager initialized
2026-06-19 16:27:35 | INFO     | main                 | [STARTUP] Conversation memory manager initialized
2026-06-19 16:27:36 | INFO     | context_resolver     | [RESOLVER] ✅ LLM classifier initialized
2026-06-19 16:27:36 | INFO     | multi_group_processor | [MULTI_GROUP] ✅ Initialized with max_workers=5
2026-06-19 16:27:36 | INFO     | background_summarizer | [BG_SUMMARIZER] Initialized with 3 workers
2026-06-19 16:27:36 | INFO     | main                 | [STARTUP] Vector store ready — session started
2026-06-19 16:27:36 | INFO     | main                 | [STARTUP] Conversation memory manager initialized
2026-06-19 16:27:36 | DEBUG    | asyncio              | Using proactor: IocpProactor
2026-06-19 16:27:38 | INFO     | main                 | [INGEST_BG] Starting background processing for 1 file(s)
2026-06-19 16:27:38 | INFO     | main                 | [CHUNKER] Selected: RecursiveCharacterTextSplitter (default)
2026-06-19 16:27:38 | INFO     | main                 | [INGEST_BG] Processing: electricity.pdf (2491059 bytes)
2026-06-19 16:27:38 | INFO     | main                 | [INGEST_BG] STEP 1 — Loading electricity.pdf
2026-06-19 16:27:38 | INFO     | document_loader      | [LOAD] Processing 1 file(s)
2026-06-19 16:27:38 | INFO     | document_loader      | [SAVE] electricity.pdf → c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads\e5318b7df22d450e8c22abfab3b1d88f.pdf (2491059 bytes)
2026-06-19 16:27:38 | INFO     | document_loader      | [LOAD] Using PDFLoader for electricity.pdf
2026-06-19 16:27:38 | INFO     | pdf_loader           | [LOAD PDF] electricity.pdf — using PyMuPDF (text + tables)
2026-06-19 16:27:38 | INFO     | pdf_loader           | [LOAD PDF] 25 pages found
2026-06-19 16:27:38 | INFO     | main                 | [INGEST_BG] Starting background processing for 1 file(s)
2026-06-19 16:27:38 | INFO     | main                 | [CHUNKER] Selected: RecursiveCharacterTextSplitter (default)
2026-06-19 16:27:38 | INFO     | main                 | [INGEST_BG] Processing: iso27001.pdf (487089 bytes)
2026-06-19 16:27:38 | INFO     | main                 | [INGEST_BG] STEP 1 — Loading iso27001.pdf
2026-06-19 16:27:38 | INFO     | document_loader      | [LOAD] Processing 1 file(s)
2026-06-19 16:27:38 | INFO     | document_loader      | [SAVE] iso27001.pdf → c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads\9b940289f1fe44b8a3a0cb5729d2efc0.pdf (487089 bytes)
2026-06-19 16:27:38 | INFO     | document_loader      | [LOAD] Using PDFLoader for iso27001.pdf
2026-06-19 16:27:38 | INFO     | pdf_loader           | [LOAD PDF] iso27001.pdf — using PyMuPDF (text + tables)
2026-06-19 16:27:38 | INFO     | pdf_loader           | [LOAD PDF] 26 pages found
2026-06-19 16:27:40 | INFO     | pdf_loader           | [LOAD PDF] Page 9: extracted 1 table(s)
2026-06-19 16:27:40 | INFO     | pdf_loader           | [LOAD PDF] Page 7: extracted 1 table(s)
2026-06-19 16:27:41 | INFO     | pdf_loader           | [LOAD PDF] Page 12: extracted 1 table(s)
2026-06-19 16:27:41 | INFO     | pdf_loader           | [LOAD PDF] Page 13: extracted 1 table(s)
2026-06-19 16:27:41 | INFO     | pdf_loader           | [LOAD PDF] Page 15: extracted 1 table(s)
2026-06-19 16:27:41 | INFO     | pdf_loader           | [LOAD PDF] Page 17: extracted 1 table(s)
2026-06-19 16:27:42 | INFO     | pdf_loader           | [LOAD PDF] Page 15: extracted 1 table(s)
2026-06-19 16:27:42 | INFO     | pdf_loader           | [LOAD PDF] Page 18: extracted 1 table(s)
2026-06-19 16:27:42 | INFO     | pdf_loader           | [LOAD PDF] Page 17: extracted 1 table(s)
2026-06-19 16:27:42 | INFO     | pdf_loader           | [LOAD PDF] Page 18: extracted 1 table(s)
2026-06-19 16:27:43 | INFO     | pdf_loader           | [LOAD PDF] Page 20: extracted 1 table(s)
2026-06-19 16:27:43 | INFO     | pdf_loader           | [LOAD PDF] Page 19: extracted 1 table(s)
2026-06-19 16:27:43 | INFO     | pdf_loader           | [LOAD PDF] Page 21: extracted 1 table(s)
2026-06-19 16:27:43 | INFO     | pdf_loader           | [LOAD PDF] Page 20: extracted 1 table(s)
2026-06-19 16:27:44 | INFO     | pdf_loader           | [LOAD PDF] Page 22: extracted 1 table(s)
2026-06-19 16:27:44 | INFO     | pdf_loader           | [LOAD PDF] Page 21: extracted 1 table(s)
2026-06-19 16:27:44 | INFO     | pdf_loader           | [LOAD PDF] Page 22: extracted 1 table(s)
2026-06-19 16:27:44 | INFO     | pdf_loader           | [LOAD PDF] Page 23: extracted 1 table(s)
2026-06-19 16:27:44 | INFO     | pdf_loader           | [LOAD PDF] Page 24: extracted 1 table(s)
2026-06-19 16:27:44 | INFO     | pdf_loader           | [LOAD PDF] ✅ iso27001.pdf — 25 non-empty pages extracted
2026-06-19 16:27:44 | INFO     | main                 | [INGEST_BG] STEP 2 — Chunking iso27001.pdf (mode: recursive)
2026-06-19 16:27:44 | INFO     | chunker              | [CHUNK] Processing 1 document(s)
2026-06-19 16:27:44 | INFO     | pdf_loader           | [LOAD PDF] ✅ electricity.pdf — 25 non-empty pages extracted
2026-06-19 16:27:44 | INFO     | chunker              | [CHUNK] Starting — iso27001.pdf | 25 pages
2026-06-19 16:27:44 | INFO     | main                 | [INGEST_BG] STEP 2 — Chunking electricity.pdf (mode: recursive)
2026-06-19 16:27:44 | INFO     | chunker              | [CHUNK] Processing 1 document(s)
2026-06-19 16:27:44 | DEBUG    | chunker              | [CHUNK] Split complete — 120 raw chunks
2026-06-19 16:27:44 | INFO     | chunker              | [CHUNK] Starting — electricity.pdf | 25 pages
2026-06-19 16:27:44 | INFO     | chunker              | [CHUNK] ✅ iso27001.pdf — 25 pages → 120 chunks
2026-06-19 16:27:44 | DEBUG    | chunker              | [CHUNK] Split complete — 140 raw chunks
2026-06-19 16:27:44 | INFO     | main                 | [INGEST_BG] STEP 2.5 — Created 120 chunks from iso27001.pdf
2026-06-19 16:27:44 | INFO     | chunker              | [CHUNK] ✅ electricity.pdf — 25 pages → 140 chunks
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 1/120: INTERNATIONAL STANDARD Information security, cybersecurity and privacy protection — Information secu...
2026-06-19 16:27:44 | INFO     | main                 | [INGEST_BG] STEP 2.5 — Created 140 chunks from electricity.pdf
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 2/120: ISO/IEC 27001:2022(E) COPYRIGHT PROTECTED DOCUMENT ISO copyright office CP 401 • Ch. de Blandonnet 8...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 1/140: 1. ELECTRIC CURRENT “The flow of charge in a definite direction constitutes the electric current and...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 3/120: ISO/IEC 27001:2022(E) Contents Page Foreword...........................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 2/140: . 2. Under the effect of an external electric field, the valence electrons move in a definite direct...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 4/120: .....................................................1 2 ​Normative references.........................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 3/140: . Thus, positive ions and electrons are the current carriers in gases. www.esaral.com Rev. Notes Cla...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 5/120: ..............1 4.1 ​Understanding the organization and its context....................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 4/140: . 1. The drift velocity of electons is of the order of 10 –4 ms –1. 2. If V is the potential differe...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 6/120: ..................................................................................................2 ...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 5/140: 6. Similarly, the velocities acquired by other electrons in the conductor will be 2 2 2 v u a , 3 3 ...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 7/120: .......................................................................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 6/140: . of E 3.1 Relaxation time () The time interval between two successive collisions of electrons with ...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 8/120: .1.3 ​Information security risk treatment..............................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 7/140: . The small value of drift velocity produces a large amount of electric current, due to the presence...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 9/120: ............................. 6 7.2 ​Competence........................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 8/140: . 1. Mobility of charge carrier ( ), responsible for current is defined as the magnitude of drift ve...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 10/120: .......................................................................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 9/140: .e., the number of free electrons perunit volume of the conductor, then total number of free electro...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 11/120: .......................................................................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 10/140: 6. Time taken by the free electrons to cross the conductors, t = l/vd q A ne dI t t v Hence, current...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 12/120: ........................... 8 9 ​Performance evaluation................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 11/140: . It is known as the electrical resistance of the conductor. Thus, V = RI this is Ohm’s law. (1) Ohm...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 13/120: .......................................................................................8 9.2.2 Inter...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 12/140: 2. The SI unit of electrical resistance is ohm  or volt amp . 3. Dimensions of electric resistance P...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 14/120: .......................................................................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 13/140: . From above ; R or R A A .” 5.2  Resistivity () 1 Where  is constant of proportionality and is know...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 15/120: .........10 10.2 ​Nonconformity and corrective action..................................................
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 14/140: .g. silver = minimum = 1.6  10–8 -m and fused quartz = maximum  1016 -m ) insulator alloy semi-condu...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 16/120: ISO/IEC 27001:2022(E) Foreword The main changes are as follows: ISO (the International Organization ...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 15/140: . 3. We have, 2 2 V m m R I A Ane ne comparing the above relation with the relation, R A . 4. We hav...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 16/140: Volume remains constant i.e., A1l1 = A2l2 After stretching length = l2, area of cross-section = A2, ...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 17/120: . The procedures used to develop this document and those intended for its further maintenance are de...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 17/140: . Insulators do not conduct charges. When a small potential difference is applied across the two end...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 18/120: . Details of any patent rights identified during the development of the document will be in the Intr...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 18/140: .com Rev. Notes Class 12 Physics Chapter-2 JEE | NEET | Class 8 - 10 Download eSaral App 3. Semicond...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 19/120: .iso.org/iso/foreword.html. In the IEC, see www.iec.ch/understanding-standards. This document was pr...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 19/140: . 1. For metals like silver, copper, etc., the value of a is positive, therefore, resistance of a me...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 20/120: ISO/IEC 27001:2022(E) Introduction 0.1   General 0.2   Compatibility with other management system st...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 20/140: (c) The relation between V and I is not unique, i.e., there is more than one value of V for the same...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 21/120: . All of these influencing factors are expected to change over time. The information security manage...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 21/140: . B B ROY Green, Britain Very Good Wife Gold Silver. Way of finding the resistance of carbon resisto...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 22/120: . This document can be used by internal and external parties to assess the organization's ability to...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 22/140: . 8.  COMBINATION OF RESISTORS 8.1 Resistances in Series Resistors are said to be connected in serie...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 23/120: . This common approach defined in the Annex SL will be useful for those organizations that choose to...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 23/140: 4. If Rs is the equivalent resistance of the given series combination of resistances, figure, then t...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 24/120: INTERNATIONAL STANDARD ISO/IEC 27001:2022(E) Information security, cybersecurity and privacy protect...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 24/140: . 8.2  Resistances in Parallel Any number of resistors are said to be connected in parallel if poten...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 25/120: . This document also includes requirements for the assessment and treatment of information security ...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 25/140: . Then, I = I2 + I2 + I3 3. Here, potential difference across each resistor is V, therefore V = I1R1...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 26/120: . For dated references, only the edition cited applies. For undated references, the latest edition o...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 26/140: . (ii) the current through each resistor is inversely proportional to the resistance of that resisto...
2026-06-19 16:27:44 | DEBUG    | main                 | [INGEST_BG]   Chunk 27/120: .4.1 of ISO 31000:2018[5]. c) which of these requirements will be addressed through the information ...
