2026-06-17 14:56:38 | INFO     | document_loader      | DocumentLoader initialized — upload_dir: C:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads
2026-06-17 14:56:38 | INFO     | document_loader      | Supported formats: ['.pdf', '.docx']
2026-06-17 14:56:38 | INFO     | chunker              | Chunker initialized — chunk_size: 300 | overlap: 50
2026-06-17 14:56:38 | INFO     | embedder             | Embedder initializing — endpoint: https://az-oai-collection.openai.azure.com/ | model: text-embedding-3-small
2026-06-17 14:56:38 | INFO     | embedder             | Embedder ✅ initialized | max_workers: 10
2026-06-17 14:56:38 | INFO     | vector_store         | VectorStore initializing — persist_dir: C:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\chroma_db
2026-06-17 14:56:38 | DEBUG    | chromadb.config      | Starting component System
2026-06-17 14:56:38 | DEBUG    | chromadb.config      | Starting component Posthog
2026-06-17 14:56:38 | INFO     | vector_store         | VectorStore ✅ Collection loaded — 295 existing vectors
2026-06-17 14:56:39 | INFO     | memory_manager       | [MEMORY_MGR] Initializing conversation memory manager
2026-06-17 14:56:39 | INFO     | memory_store         | [MEMORY_STORE] Initializing with Chroma DB at C:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\chroma_db
2026-06-17 14:56:39 | INFO     | memory_store         | [MEMORY_STORE] ✅ Collections loaded — metadata: 4, summaries: 0
2026-06-17 14:56:39 | INFO     | memory_store         | [MEMORY_STORE] ✅ Retrieved 4 groups
2026-06-17 14:56:39 | INFO     | memory_manager       | [MEMORY_MGR] ✅ Loaded 4 groups from storage
2026-06-17 14:56:39 | INFO     | memory_manager       | [MEMORY_MGR] ✅ Manager initialized
2026-06-17 14:56:39 | INFO     | main                 | [STARTUP] Conversation memory manager initialized
2026-06-17 14:56:39 | INFO     | context_resolver     | [RESOLVER] ✅ LLM classifier initialized
2026-06-17 14:56:39 | INFO     | multi_group_processor | [MULTI_GROUP_PROCESSOR] ✅ Initialized with max_workers=5
2026-06-17 14:56:39 | INFO     | background_summarizer | [BG_SUMMARIZER] Initialized with 3 workers
2026-06-17 14:56:39 | INFO     | main                 | [STARTUP] Vector store ready — session started
2026-06-17 14:56:39 | INFO     | main                 | [STARTUP] Conversation memory manager initialized
2026-06-17 14:56:39 | INFO     | main                 | ==============================================
2026-06-17 14:56:39 | INFO     | main                 |   📄 RAG Pipeline — Enterprise
2026-06-17 14:56:39 | INFO     | main                 |   🌐  http://localhost:8000
2026-06-17 14:56:39 | INFO     | main                 |   🛑  Stop: Ctrl + C
2026-06-17 14:56:39 | INFO     | main                 | ==============================================
2026-06-17 14:56:44 | INFO     | vector_store         | [STORE] Collection cleared.
2026-06-17 14:56:44 | INFO     | main                 | [CLEAR] All vectors deleted from ChromaDB
2026-06-17 14:56:47 | INFO     | main                 | =======================================================
2026-06-17 14:56:47 | INFO     | main                 | [INGEST] ▶ New ingest request received
2026-06-17 14:56:47 | INFO     | main                 | [INGEST] Files: 1 | Chunk mode: 'recursive'
2026-06-17 14:56:47 | INFO     | main                 | [INGEST_BG] Starting background processing for 1 file(s)
2026-06-17 14:56:47 | INFO     | main                 | [CHUNKER] Selected: RecursiveCharacterTextSplitter (default)
2026-06-17 14:56:47 | INFO     | main                 | [INGEST_BG] Processing: electricity.pdf (2491057 bytes)
2026-06-17 14:56:47 | INFO     | main                 | [INGEST_BG] STEP 1 — Loading electricity.pdf
2026-06-17 14:56:47 | INFO     | document_loader      | [LOAD] Processing 1 file(s)
2026-06-17 14:56:47 | INFO     | document_loader      | [SAVE] electricity.pdf → C:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads\cdc79fccd6514f9b9992a2abb417bc38.pdf (2491057 bytes)
2026-06-17 14:56:47 | INFO     | document_loader      | [LOAD] Using PDFLoader for electricity.pdf
2026-06-17 14:56:47 | INFO     | pdf_loader           | [LOAD PDF] electricity.pdf — using PyMuPDF (simple text extraction)
2026-06-17 14:56:47 | INFO     | pdf_loader           | [LOAD PDF] 25 pages found
2026-06-17 14:56:48 | INFO     | pdf_loader           | [LOAD PDF] ✅ electricity.pdf — 25 non-empty pages extracted
2026-06-17 14:56:48 | INFO     | main                 | [INGEST_BG] STEP 2 — Chunking electricity.pdf (mode: recursive)
2026-06-17 14:56:48 | INFO     | chunker              | [CHUNK] Processing 1 document(s)
2026-06-17 14:56:48 | INFO     | chunker              | [CHUNK] Starting — electricity.pdf | 25 pages
2026-06-17 14:56:48 | DEBUG    | chunker              | [CHUNK] Split complete — 295 raw chunks
2026-06-17 14:56:48 | INFO     | chunker              | [CHUNK] ✅ electricity.pdf — 25 pages → 295 chunks
2026-06-17 14:56:48 | INFO     | main                 | [INGEST_BG] STEP 2.5 — Created 295 chunks from electricity.pdf
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 1/295: 1 1. ELECTRIC CURRENT “The flow of charge in a definite direction constitutes the electric current a...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 2/295: . Though the “electric current represents the direction of flow of positive charge”. 2. Yet it is tr...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 3/295: . 4. Because the angle between the wires carrying currents does not affect the total current in the ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 4/295: . In solid conductors like metals, the valence electrons of the atoms do not remain attached to indi...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 5/295: . 2. Under the effect of an external electric field, the valence electrons move in a definite direct...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 6/295: . In an electrolyte like CuSO4, NaCl etc., there are positively and negatively charged ions (like 4 ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 7/295: . 3. Thus, in liquids, the current carriers are positively and negatively charged ions. (c) Current ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 8/295: . Thus, positive ions and electrons are the current carriers in gases. 3.  DRIFT VELOCITY “If 1 2 3 ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 9/295: ... u n As a result, there will be no net flow of electrons of charge in one particular direction in...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 10/295: . “Drift velocity is defined as the average velocity with which the free electrons get drifted towar...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 11/295: . 2. If V is the potential difference applied across the ends of the conductor of length l, the magn...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 12/295: . 5. At any instant of time, the velocity acquired by electron having thermal velocity 1u  will be ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 13/295: .esaral.com Rev. Notes Class 12 Physics Chapter-2...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 14/295: 2 6. Similarly, the velocities acquired by other electrons in the conductor will be 2 2 2 v u a ,  ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 15/295: ....., n n n v u a .       7. The average velocity of all the free electrons in the conductor ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 16/295: ... v v n         1 2 2 n n u a u a ... u a n                2 n 1 2 n ... u ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 17/295: ... n         = average time that has elapsed since each electron suffered its last collisio...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 18/295: . 8. Its value is the order of 10 –14 second. 9. Putting the value of a  in the above relation, we ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 19/295: . 3.1 Relaxation time (    ) The time interval between two successive collisions of electrons wi...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 20/295: . 3.2   Mobility Drift velocity per unit electric field is called mobility of electron i.e. d v E  ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 21/295: .  The drift velocity of electrons is small because of the frequent collisions suffered by electron...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 22/295: . The propagation of current is almost at the speed of light and involves electromagnetic process. I...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 23/295: .  In the absence of electric field, the paths of electrons between successive collisions are strai...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 24/295: .  Free electron density in a metal is given by A N x d n A  where NA = Avogrado number, x = numbe...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 25/295: . 1. Mobility of charge carrier ( ), responsible for current is defined as the magnitude of drift ve...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 26/295: . Mobility of electron, e e e e m   3. The total current in the conducting material is the sum of ...
2026-06-17 14:56:48 | DEBUG    | main                 | [INGEST_BG]   Chunk 27/295: .3  Relation between current and Drift Velocity 1. Consider a conductor (say a copper wire) of lengt...
